,bodyId_1,bodyId_2,minimum_distance_threshold
616,1350535841,1412259287,5.0
617,1350535841,1412259356,10.0
618,1350535841,1412600835,15.0
619,1350535841,1412605227,10.0
620,1350535841,5812989453,10.0
621,1350871692,1381224836,10.0
622,1350871692,1381224916,3.0
623,1350871692,1381565604,2.0
624,1350871692,1412942197,2.0
625,1350871692,1413282896,10.0
626,1350871692,1444317868,3.0
627,1350871692,1474671218,10.0
628,1350871692,1568798963,2.0
629,1350871692,1661904163,3.0
630,1350871692,1755354015,3.0
631,1350871692,1786047211,5.0
632,1350871692,2004327717,25.0
633,1350872379,1381565835,4.0
634,1350872379,1381911742,3.0
635,1350872379,1412941467,4.0
636,1350872379,1755354015,3.0
637,1350872614,1381224619,5.0
638,1350872614,1381224916,0.84
639,1350872614,1381566055,4.0
640,1350872614,1381566395,5.0
641,1350872614,1381566531,5.0
642,1350872614,1412600835,10.0
643,1350872614,1568798963,10.0
644,1350872645,1381906809,5.0
645,1350872645,1381907656,3.0
646,1350872645,1381911742,2.0
647,1350872645,1412945906,5.0
648,1350872645,1474671218,2.0
649,1350872645,1755354015,4.0
650,1350872698,1381565604,4.0
651,1350872698,1381565835,10.0
652,1350872698,1381566601,15.0
653,1350872698,1381907334,4.0
654,1350872698,1412941991,3.0
655,1350872698,1413283245,4.0
656,1374076117,1724660135,15.0
657,1374076117,1786047211,4.0
658,1374076117,1817760581,2.0
659,1374076117,1817772640,0.91
660,1374076117,1848800231,0.8
661,1374076117,1913592978,3.0
662,1374076117,1941908289,3.0
663,1374076117,1942241411,10.0
664,1374076117,1944969182,3.0
665,1374076117,1972942755,10.0
666,1374076117,2004319905,4.0
667,1374076117,2004655348,3.0
668,1374076117,2004660694,3.0
669,1374076117,2035017854,3.0
670,1374076117,2035686422,0.89
671,1374076117,2066725499,10.0
672,1374076117,2121382970,4.0
673,1374076117,5812999605,4.0
674,1374076117,5813001193,4.0
675,1376540712,1943950268,0.73
676,1376540712,2099466174,10.0
677,1376540712,2224291302,10.0
678,1376540712,5813003623,3.0
679,1376540712,5813011683,3.0
680,1376540712,5813024125,15.0
681,1376540712,5813031973,10.0
682,1376540712,5813062922,4.0
683,1376540712,5813069193,3.0
684,1378182447,5813022753,2.0
685,1378182447,5813040744,3.0
686,1378182447,5813045602,10.0
687,1378182447,5813069193,10.0
688,1381224616,1381224916,2.0
689,1381224616,1381225980,4.0
690,1381224616,1381226018,0.0
691,1381224616,1412259287,2.0
692,1381224616,1412600835,0.84
693,1381224616,1443635332,2.0
694,1381224616,1443977192,0.8
695,1381224619,1381224836,4.0
696,1381224619,1381566055,2.0
697,1381224619,1412941693,4.0
698,1381224619,1443635332,4.0
699,1381224619,1443977215,10.0
700,1381224619,1568798963,0.6
701,1381224836,1381224916,2.0
702,1381224836,1381565835,2.0
703,1381224836,1381566531,5.0
704,1381224836,1381566701,20.0
705,1381224836,1412259287,4.0
706,1381224836,1412600835,4.0
707,1381224836,1661904163,0.86
708,1381224916,1381225980,10.0
709,1381224916,1381565835,2.0
710,1381224916,1381566063,3.0
711,1381224916,1381566531,3.0
712,1381224916,1381907344,0.49
713,1381224916,1412600900,15.0
714,1381224916,1412601360,3.0
715,1381224916,1412942029,15.0
716,1381224916,1412942452,10.0
717,1381224916,1724660135,10.0
718,1381224916,5812991617,10.0
719,1381225980,1381566395,3.0
720,1381225980,1381566531,10.0
721,1381225980,1381907344,10.0
722,1381225980,1412600835,20.0
723,1381226015,1412605536,15.0
724,1381226015,1412942197,3.0
725,1381226015,1413283245,10.0
726,1381226015,1443636211,3.0
727,1381226015,1443636487,3.0
728,1381226015,1443640016,40.0
729,1381226015,1661904163,3.0
730,1381226018,1443635332,3.0
